RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
41224,96101,STANDARD,ALTURAS,CA,PRIMARY,41.43,-120.53,-0.38,-0.64,0.66,NA,US,"Alturas, CA",NA-US-CA-ALTURAS,FALSE,2232,3969,57354288,14450.6,
41228,96103,STANDARD,BLAIRSDEN-GRAEAGLE,CA,PRIMARY,39.78,-120.65,-0.39,-0.66,0.63,NA,US,"Blairsden-graeagle, CA",NA-US-CA-BLAIRSDEN-GRAEAGLE,FALSE,855,1434,19238081,13415.7,
41234,96140,PO BOX,CARNELIAN BAY,CA,PRIMARY,39.22,-120.08,-0.38,-0.67,0.63,NA,US,"Carnelian Bay, CA",NA-US-CA-CARNELIAN BAY,FALSE,590,929,18602568,20024.3,
41240,96104,STANDARD,CEDARVILLE,CA,PRIMARY,41.48,-120.14,-0.37,-0.64,0.66,NA,US,"Cedarville, CA",NA-US-CA-CEDARVILLE,FALSE,366,627,8407559,13409.2,
41243,96107,STANDARD,COLEVILLE,CA,PRIMARY,38.47,-119.48,-0.38,-0.68,0.62,NA,US,"Coleville, CA",NA-US-CA-COLEVILLE,FALSE,473,903,14067458,15578.6,
41247,96109,STANDARD,DOYLE,CA,PRIMARY,39.94,-120.06,-0.38,-0.66,0.64,NA,US,"Doyle, CA",NA-US-CA-DOYLE,FALSE,345,622,10601655,17044.5,
41252,96113,PO BOX,HERLONG,CA,PRIMARY,40.2,-120.19,-0.38,-0.66,0.64,NA,US,"Herlong, CA",NA-US-CA-HERLONG,FALSE,447,767,17524001,22847.5,
41255,96141,PO BOX,HOMEWOOD,CA,PRIMARY,39.1,-120.19,-0.39,-0.67,0.63,NA,US,"Homewood, CA",NA-US-CA-HOMEWOOD,FALSE,349,540,7550330,13982.1,
41257,96142,PO BOX,TAHOMA,CA,PRIMARY,39.02,-120.14,-0.39,-0.67,0.62,NA,US,"Tahoma, CA",NA-US-CA-TAHOMA,FALSE,359,590,10865121,18415.5,
41260,96114,STANDARD,JANESVILLE,CA,PRIMARY,40.28,-120.5,-0.38,-0.65,0.64,NA,US,"Janesville, CA",NA-US-CA-JANESVILLE,FALSE,1297,2530,62014559,24511.7,
41262,96143,PO BOX,KINGS BEACH,CA,PRIMARY,39.24,-120.04,-0.38,-0.67,0.63,NA,US,"Kings Beach, CA",NA-US-CA-KINGS BEACH,FALSE,1638,2971,44589600,15008.3,
41267,96118,STANDARD,LOYALTON,CA,PRIMARY,39.63,-120.21,-0.38,-0.66,0.63,NA,US,"Loyalton, CA",NA-US-CA-LOYALTON,FALSE,626,1177,20296656,17244.4,
41269,96120,STANDARD,MARKLEEVILLE,CA,PRIMARY,38.73,-119.84,-0.38,-0.67,0.62,NA,US,"Markleeville, CA",NA-US-CA-MARKLEEVILLE,FALSE,399,676,11724012,17343.2,
41277,96122,STANDARD,PORTOLA,CA,PRIMARY,39.79,-120.46,-0.38,-0.66,0.64,NA,US,"Portola, CA",NA-US-CA-PORTOLA,FALSE,1762,3165,51612483,16307.3,
41288,96150,STANDARD,SOUTH LAKE TAHOE,CA,PRIMARY,38.84,-120.01,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,6127,9905,196471308,19835.6,
41290,96151,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.94,-119.97,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,3300,5277,90634287,17175.3,
41297,96155,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.78,-120.07,-0.39,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,583,896,18243171,20360.7,
